Name,Type,D_nominal,Z_ref,BL,Cms,Mms,Re,Qes,Qms,Qts,n0,Sd,f1,f2,Zmax,Xmax,Xmech,fmin,fmax,fs,P_rms,P_max,SPL_ref,V_ref,Vas,F3_sealed,F3_ported,Volume_sealed,Volume_ported,Weight
Alcone AC 15,Tweeter,1.0,6,,,,,,,,,,,,,,,1000.0,20000.0,705,100,150,94.0,2.83,,,,,,
Dayton Audio AMTHR-4,AMT,,4,,,,,,,,,,,,,,,,,,25,50,94.0,2.83,,,,,,
Dayton Audio AMTPRO-4,AMT,,4,,,,,,,,,,,,,,,,,,50,100,97.0,2.83,,,,,,
Dayton Audio HTS545HE-4,Woofer,21.0,4,38.2,0.000050,0.676,3.8,0.290,7.90,0.28,0.0106,0.1164,17.448,34.896,106.223,21.0,,18.0,500.0,26.3,2000,4000,95.6,2.83,179.0,68,29,42.4,169.9,
Dayton Audio RS270-4,Woofer,10.0,4,,,,,,,0.27,,,,,,6.0,,21.0,2000.0,20.9,100,200,89.2,2.83,98.6,50,27,37.94,117.79,
Dayton Audio RSS265HF-8,Woofer,10.0,8,14.9,0.000312,0.131,6.45,0.592,2.68,0.485,0.00131,0.03464,11.986,46.581,35.62,14.3,,25.0,2000.0,24.9,350,700,84.2,2.83,52.5,43,22,24.9,79.85,
Dayton Audio RSS315HFA-8,Woofer,12.0,8,18.0,0.00027,0.194,6.52,0.541,2.5,0.45,0.00188,0.07246,13.454,34.896,36.328,14.3,,25.0,1500.0,22.2,400,700,85.7,2.83,97.2,40,20,43.6,131.1,
Dayton Audio RSS315HF-4,Woofer,12.0,4,14.0,0.00023,0.188,3.1,0.449,2.83,0.39,0.00254,0.05147,14.672,38.055,22.438,14.3,,23.0,1000.0,24.2,400,800,90.3,2.83,84.1,53,30,20.1,57.7,
Dayton Audio RSS315HO-4,Woofer,12.0,4,20.0,0.000146,0.251,3.24,0.334,3.63,0.306,0.00276,0.05147,16.0,40.317,38.369,12.3,,26.0,600.0,26.2,700,1400,90.5,2.83,53.7,66,36,9.34,27.75,
Dayton Audio RSS390HF-4,Woofer,15.0,4,15.0,0.000217,0.302,3.0,0.499,3.02,0.43,0.00302,0.08296,13.454,30.204,21.173,14.0,,18.0,800.0,19.5,500,1000,91.2,2.83,212.0,37,21,81.5,253.7,
Dayton Audio RSS390HO-4,Woofer,15.0,4,19.8,0.000171,0.319,3.16,0.346,3.69,0.32,0.00462,0.08296,13.454,32.938,36.873,12.0,,21.0,600.0,21.5,800,1600,92.8,2.83,168.0,50,30,44.7,77.7,
Dayton Audio RSS460HO-4,Woofer,18.0,4,23.4,0.000143,0.499,3.2,0.347,4.05,0.32,0.00499,0.1164,11.986,28.509,40.539,12.75,,20.0,500.0,18.8,900,1800,93.0,2.83,272.0,40,23,86.1,212.3,
JBL Selenium D220Ti-8,Horn,1.0,8,,,,,,,,,,,,,,,1000.0,21000.0,,23,46,109.0,2.83,,,,,,
Morel CAT 328-110,Tweeter,1.0,8,3.5,,,,,,,,,,,,,,,,650.0,200,1000,90.0,2.83,,,,,,0.573
Morel EM 1308,Midrange,2.1,8,,,,,,,0.47,,,,,,,,,,320.0,200,1000,88.0,2.83,,,,,,
Morel ET 338,Tweeter,1.0,8,,,,,,,,,,,,,,,1800.0,20000.0,700.0,200,1000,92.5,2.83,,,,,,
Morel ET 448,Tweeter,1.0,8,,,,,,,,,,,,,,,2200.0,22000.0,750.0,120,1000,92.0,2.83,,,,,,
Morel UW 1058,Woofer,10.0,8,,,,,,,0.43,,,,,,,,,,26.0,500,1500,85.8,2.83,40.8,,,,,
Morel UW 1258,Woofer,12.0,8,,,,,,,0.43,,,,,,,,,,21.0,800,3000,87.0,2.83,138.38,,,,,
Morel ST 1048,Tweeter,1.0,8,,,0.00044,5.2,,,,,0.0006,,,,,,1400.0,22000.0,680.0,220,1000,91.5,2.83,,,,,,0.435
Mundorf AMT 25CS2.1-R,AMT,,8,,,,,,,,,,,,,,,,,1100.0,,230,94.0,2.83,,,,,,
Mundorf AMT 29CM1.1-R,AMT,,8,,,,,,,,,,,,,,,,,1500.0,,250,100.0,2.83,,,,,,
Mundorf AMT U160W1.1-R,AMT,,4,,,,,,,,,,,,,,,1200.0,28000.0,1750.0,15,140,93.0,2.83,,,,,,0.630
Mundorf AMT U60W1.1-C,AMT,,4,,,,,,,,,,,,,,,2100.0,34000.0,2350.0,10,70,93.0,2.83,,,,,,0.254
ScanSpeak Discovery 15M/4624G00,Midrange,5.5,8,,,,,,,0.43,,,,,,,,,,100.0,75,180,92.5,2.83,3.7,,,,,
ScanSpeak Discovery 30W/4558T00,Woofer,12.0,8,10.5,0.00065,0.135,2.6,0.34,5.01,0.32,,0.0466,11.56,25.0,40.9,,,17.0,1500.0,17.0,150,350,89.0,2.83,197.0,34,20,67.0,132.0,
ScanSpeak Revelator 32W/4878T00,Woofer,12.0,8,12.31,0.00052,0.1463,3.12,0.33,7.0,0.32,,0.0526,12.95,25.02,69.0,14.0,28.0,18.0,2000.0,18.0,200,550,90.0,2.83,203.9,36,21,67.0,129.0,7.8
ScanSpeak Revelator 32W/4878T01,Woofer,12.0,8,13.0,0.00043,0.112,3.1,0.3,6.0,0.28,,0.0526,16.58,31.9,51.0,7.0,28.0,23.0,1500.0,23.0,150,400,92.0,2.83,170.0,53,34,40.0,69.0,
Supravox 400 GMF,Woofer,15.0,8,18.2908,0.00047,0.0621385,6.5,0.1432,7.5492,0.14,,0.0855,,,,,,19.0,4000.0,18.87,120,240,98.5,2.83,490.0,,,,,
Volt Loudspeakers VM527,Midrange,2.0,8,,,,5.5,,,,,0.002827,,,40.0,1.0,1.0,500.0,4500.0,502.0,75,150,91.0,2.83,,,,,,
Volt Loudspeakers VM752,Midrange,3.0,8,9.3,0.0004,0.004,6.3,0.81,9.53,0.75,,0.0057,,,89.5,1.0,2.0,500.0,4000.0,400.0,100,200,94.0,2.83,0.16,,,,,
Volt Loudspeakers RV2501,Woofer,10.0,8,13.9,0.0003,0.05522,5.3,0.37,3.19,0.33,,0.0330,,,,5.0,10.0,30.0,800.0,39.0,250,500,91.0,2.83,47.03,,35,,80.0,
Volt Loudspeakers RV3143,Woofer,12.0,8,18.0,0.00027,0.076,6.1,0.32,5.35,0.3,,0.0473,24.26,50.50,95.0,5.2,18.0,29.0,700.0,35.0,300,600,91.5,2.83,86.0,,29,,110.0,
Volt Loudspeakers RV3863,Woofer,15.0,8,19.3,0.000253,0.119,5.8,0.33,4.03,0.31,,0.0760,,,42.5,7.5,19.0,25.0,500.0,29.0,400,800,94.0,2.83,205.0,,29,,200.0,
Volt Loudspeakers RV4564,Woofer,18.0,8,25.7,0.00016,0.235,5.8,0.34,3.94,0.31,,0.1029,,,68.0,12.5,22.0,30.0,500.0,26.0,750,1500,93.0,2.83,238.0,,23,,300.0,
